"nLayers","nNodes","MSE"
15,57,80.7539079364696
15,58,78.9293015682533
15,59,79.9084464469992
15,60,104.545218352162
16,1,104.545218352162
16,2,104.545218352162
16,3,104.545218352162
16,4,104.545218352162
16,5,104.545218352162
16,6,80.5215195100017
16,7,98.9106487450552
16,8,74.7812171642288
16,9,89.0595756025398
16,10,112.438143466794
16,11,99.8106690029285
16,12,113.354412184613
16,13,108.316299647424
16,14,80.1630550618794
16,15,82.4012920849064
16,16,100.90375737322
16,17,80.6243751727776
16,18,115.435268341757
16,19,76.7307535486839
16,20,82.1963075699406
16,21,79.905477728875
16,22,79.2535391398452
16,23,89.5705732926968
16,24,82.8872954993878
16,25,79.4609797544536
16,26,81.6216575727998
16,27,107.153487373746
16,28,93.571034348431
16,29,87.2848319331204
16,30,83.773859412037
16,31,83.7180697606834
16,32,107.536811413175
16,33,91.1129401235688
16,34,88.7557094198068
16,35,79.9108089221415
16,36,116.762470498481
16,37,79.2125832229517
16,38,80.3777813762054
16,39,123.617390214562
16,40,76.1201554816181
16,41,106.960098653661
16,42,81.3071636168186
16,43,81.7777175899829
16,44,77.9372173311003
16,45,75.3598091371281
16,46,103.727236175422
16,47,79.6690298938758
16,48,93.5057214493225
16,49,78.8747684774313
16,50,97.372374735098
16,51,84.9764317366522
16,52,78.3463535449681
16,53,118.098099094116
16,54,81.4498143779189
16,55,82.0180877520284
16,56,84.8749559231565
16,57,78.8624600448758
16,58,79.1745049920872
16,59,80.7961968514312
16,60,80.3742666384862
17,1,80.3742666384862
17,2,80.3742666384862
17,3,80.3742666384862
17,4,80.3742666384862
17,5,80.3742666384862
17,6,80.3742666384862
17,7,91.4161128361585
17,8,79.3132799377517
17,9,85.7724460298991
17,10,81.9759093999187
17,11,89.301006985744
17,12,98.9448964923529
17,13,89.8872930832586
17,14,88.2753305421231
17,15,82.6576732452174
17,16,97.5114639868758
17,17,76.1042288699279
17,18,79.9054834961415
17,19,78.8812445162507
17,20,90.746083367523
17,21,133.941770216812
17,22,80.6031362466737
17,23,78.0455140256281
17,24,113.256550540786
17,25,76.5705740369425
17,26,102.763169924197
17,27,98.5095786877836
17,28,89.8956272649087
17,29,76.932653244176
17,30,89.0502963788525
17,31,77.4234996518485
17,32,83.6317379421228
17,33,79.1997346568065
17,34,83.300349723534
17,35,97.6757574503287
17,36,80.0776225857667
17,37,74.9614444811756
17,38,96.7172389331951
17,39,74.4347023097749
17,40,132.398427062376
17,41,109.906247863778
17,42,104.379745424301
17,43,85.2006237290141
17,44,76.7056611293473
17,45,85.3803102369953
17,46,84.9989067755759
17,47,117.230928951488
17,48,100.219071086966
17,49,75.1052916236262
17,50,78.1068767622677
17,51,82.836592669272
17,52,78.2951663524478
17,53,81.1911314128256
17,54,84.1432842970301
17,55,114.951958399547
17,56,83.0437935320926
17,57,86.5160695318618
17,58,88.0768464954569
17,59,100.271846194174
17,60,92.2810184914544
18,1,92.2810184914544
18,2,92.2810184914544
18,3,92.2810184914544
18,4,92.2810184914544
18,5,92.2810184914544
18,6,80.8656469680772
18,7,107.322943428086
18,8,80.5451310061815
18,9,100.182764600368
18,10,114.905663084031
18,11,99.8505894124902
18,12,90.7276499017569
18,13,80.7495222237828
18,14,89.3878679276691
18,15,86.0855136802925
18,16,77.3564867634632
18,17,83.8251155204666
18,18,114.886731230174
18,19,118.43613705386
18,20,139.194298985127
18,21,80.4938871701327
18,22,76.3388126490817
18,23,110.725334612405
18,24,99.8415202674537
18,25,97.115901093525
18,26,92.2815543960866
18,27,77.029632911858
18,28,80.6227616818946
18,29,89.4015991246988
18,30,93.2737446700843
18,31,76.5033555489327
18,32,92.3768097273309
18,33,84.4745275801881
18,34,107.528693966317
18,35,87.295763659494
18,36,80.0019113195427
18,37,79.692323916299
18,38,87.1395606071264
18,39,77.951093367678
18,40,78.8321985546341
18,41,105.741822345759
18,42,79.7720052223687
18,43,99.2154216459512
18,44,90.3887188028818
18,45,102.983122345715
18,46,83.996602536734
18,47,105.944975815509
18,48,77.7733722361618
18,49,84.33185534229
18,50,124.374572693361
18,51,120.840035065554
18,52,109.798857633678
18,53,77.1094300568981
18,54,85.9080337561363
18,55,113.644106589185
18,56,85.2158146221226
18,57,76.8672886066872
18,58,80.3739550875468
18,59,109.78206121908
18,60,77.790262852968
19,1,77.790262852968
19,2,77.790262852968
19,3,77.790262852968
19,4,77.790262852968
19,5,85.71546468034
19,6,85.71546468034
19,7,113.600313959425
19,8,88.1858462536211
19,9,84.2149337636596
19,10,107.246697342564
19,11,82.4406481928185
19,12,98.469447964442
19,13,87.8531102905037
19,14,78.7165185056299
19,15,82.4284897878285
19,16,89.0829310746087
19,17,91.8961034233635
19,18,112.793016394333
19,19,83.8328508534735
19,20,95.5981136155622
19,21,92.430536159923
19,22,113.820377950859
19,23,98.458563350144
19,24,104.663360360496
19,25,82.8927058825846
19,26,87.4325276925874
19,27,82.80602563033
19,28,78.8659964958927
19,29,80.0492967460432
19,30,84.8059589051253
19,31,81.764284521301
19,32,77.4737804739352
19,33,80.3834255029298
19,34,92.7824144094028
19,35,81.2275000011332
19,36,77.4131331627039
19,37,129.728642332609
19,38,80.8780236136086
19,39,98.7986717107541
19,40,78.909256647192
19,41,86.2427912382444
19,42,75.9344839515872
19,43,77.1026112261685
19,44,79.5266583444466
19,45,83.6515741250994
19,46,87.1483987477163
19,47,82.8330710858806
19,48,81.6405890991414
19,49,99.817010980329
19,50,75.664725970459
19,51,80.5255715278131
19,52,87.4315154181581
19,53,126.057820348095
19,54,101.97885909919
19,55,78.2606533732542
19,56,98.5577130857449
19,57,78.2917654513602
19,58,85.5186768477514
